date,Symbol,monthly_avg,monthly_base,compounded_total,index,Name,Exchange,Sector,Industry,DateAdded,Founded,City,State,Country,2021Price,2021Marketcap,2021Ebitda,2021Revenuegrowth,2021Fulltimeemployees
2015-06,MCO,-4.199601728790717e-06,0.9998740196197796,4.310927195693879,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-07,MCO,0.001059316905642992,1.0322725043051997,4.4500516121763125,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-08,MCO,-0.003475770813332475,0.900815549248886,4.008675687208496,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-09,MCO,-0.0018405793055317093,0.946231280182406,3.793134327343381,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-10,MCO,-0.0008080293749917023,0.9760410049328269,3.7022546407054358,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-11,MCO,0.003604508540261475,1.1139818358525244,4.124244421446569,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2015-12,MCO,-0.0011317247642511478,0.9665995651480541,3.986492864334542,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-01,MCO,-0.005984131516472801,0.8352173859867087,3.329588149404163,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-02,MCO,7.778166120322449e-05,1.0023360834919128,3.3373663453148548,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-03,MCO,0.00392040925178009,1.124549301174769,3.7530329913880123,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-04,MCO,-0.00031724048951561494,0.9905264350304879,3.7174783895113754,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-05,MCO,0.0015165959877080411,1.0465127157005774,3.890388404965758,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
2016-06,MCO,-0.001988605780507746,0.9420305532653982,3.664864741547183,287385,Moody's Corp,NYQ,Financials,Financial Exchanges & Data,1998-07-01,1909,New York,NY,United States,263.17,48923303936,3116000000.0,0.193,13460.0
